X,Y,droughtstart_speibase,urban_ih_log,droughtyr_speigdm,herb_gc,capdist,grass_ih_log,nlights_sd_log,water_gc_log,pop_gpw_sd_log,pasture_ih
5.75,4.25,0.6814102436395939,-1.5852084093335341,0.1562846172093023,0.1234568,569.7085,0.5415744192956803,2.3949573248891745,4.498691156137535,7.106244596969482,34.16777403035413
6.25,4.25,0.6814102436395939,-1.5852084093335341,0.1666667,0.7438272,553.0213,0.5415744192956803,1.4642902832485807,4.170457558684787,7.697129945764927,34.16777403035413
6.75,4.25,0.6814102436395939,-1.5852084093335341,0.08333334,0.1296296,541.4856,0.5415744192956803,1.915489232442802,4.313794099058337,7.085957529739525,34.16777403035413
7.25,4.25,0.6814102436395939,-1.5852084093335341,0.1666667,0.1697531,535.4345,0.5415744192956803,2.5978505884704646,4.471335433068773,8.64532463049957,34.16777403035413
7.75,4.25,0.6814102436395939,-1.5852084093335341,0.1562846172093023,0.03395062,535.054,0.5415744192956803,2.650259352023131,4.5868050749701155,7.9358943152256645,34.16777403035413
8.75,4.25,0.6814102436395939,-1.5852084093335341,0.08333334,0.03395062,310.127,0.5415744192956803,2.4421800649086736,4.481376032207316,5.996804514072064,34.16777403035413
9.25,4.25,-0.2939228,0.06765864847381486,0.0,0.1975309,255.24,-1.07880966137193,1.188124175664092,1.3835127460131666,7.020360488357816,8.68
9.75,4.25,-0.2520797,1.1314021114911006,0.08333334,0.1882716,200.702,-1.203972804325936,2.543478185071732,1.0494826168724853,8.279506905285697,7.73
10.25,4.25,0.08053564,-2.3025850929940455,0.08333334,0.0617284,146.9022,-1.1394342831883648,-0.32443637902124817,-0.6193920134917621,5.3257155839791075,8.69
10.75,4.25,-2.288253,-2.3025850929940455,0.08333334,0.00308642,95.10191,-1.897119984885881,-2.3025850929940455,0.17094036942033167,5.5084417348957375,5.65
11.25,4.25,-1.811575,-0.6931471805599453,0.08333334,0.00308642,51.70749,-1.9661128563728325,-0.10983071434707664,0.6813493591465895,7.222135269128533,4.37
11.75,4.25,-1.603915,-1.1086626245216111,0.08333334,0.04034761,49.68015,-1.7719568419318752,0.4444248897858915,-0.0773409773027338,6.922106801456054,3.64
12.25,4.25,-1.609849,-2.3025850929940455,0.0,0.0,91.8027,-1.5606477482646683,-0.35195993423062133,-2.3025850929940455,5.85969503004021,0.7
12.75,4.25,-1.523949,-2.3025850929940455,0.0,0.0,143.3615,-1.4271163556401456,-2.3025850929940455,-2.3025850929940455,5.611309665705369,0.95
13.25,4.25,-1.42715,-1.3093333199837622,0.0,0.00617284,197.0849,-1.5141277326297755,-2.3025850929940455,-2.3025850929940455,2.671019621188603,1.02
13.75,4.25,-1.364296,-2.3025850929940455,0.0,0.0,251.59,-0.7985076962177717,-1.1499241095430641,-2.1861747323584257,3.9486256791202763,1.82
14.25,4.25,-1.167645,-1.2378743560016172,0.08333334,0.0,306.4601,-1.7147984280919266,-0.272353622382205,-2.3025850929940455,-1.8849016009480095,0.94
14.75,4.25,-1.099736,-1.7719568419318752,0.08333334,0.00308642,361.5289,-0.5108256237659907,-0.2806294011084011,-2.3025850929940455,2.7052068292156437,4.1
15.25,4.25,-1.016796,-1.9661128563728325,0.08333334,0.0,370.2475,-0.544727175441672,-1.021670969948689,-1.8607523121435783,4.724392185838729,5.77
5.25,4.75,0.6814102436395939,-1.5852084093335341,0.1562846172093023,0.02469136,541.575,0.5415744192956803,1.467260334759898,4.578851569669863,6.110098109852524,34.16777403035413
5.75,4.75,0.1164012,-2.3025850929940455,0.08333334,0.287037,518.1522,4.1940390562533,2.6620034702757875,2.7073092600064723,6.95258140625237,3.4
6.25,4.75,-0.03974034,0.3987761199573677,0.1666667,2.070988,499.7636,0.2070141693843261,2.5945776121082345,1.1969110285776712,6.833711350931393,16.53
6.75,4.75,-0.2550567,-0.040821994520255166,0.1666667,0.3641975,486.9798,-0.5108256237659907,2.6884411950602254,2.097563345418496,9.772791564920341,15.17
7.25,4.75,-0.439084,1.47932922708708,0.08333334,0.9135802,480.2485,-0.4942963218147801,2.8109376612776384,2.134385470634859,9.435798841797798,20.12
7.75,4.75,-0.5062494,-0.31471074483970024,0.08333334,0.00617284,479.8247,-0.37106368139083207,2.3220298131118366,1.5043518035677308,8.702696846627227,9.87
8.25,4.75,-0.4186058,-2.3025850929940455,0.08333334,0.8395061,485.7248,1.1052568313867783,2.4186582231504494,3.366486537080052,9.027875484910936,1.12
8.75,4.75,-0.4672051,-2.3025850929940455,0.08333334,1.861111,322.2761,4.040767961318708,-0.23235850387428678,2.4855239592133245,7.058595628564296,1.24
9.25,4.75,-0.4905226,-0.4462871026284195,0.08333334,0.537037,269.9087,1.1249295969854831,0.3897807490921127,-1.276499412111026,6.2321980835517,7.01
9.75,4.75,-0.2464949,-1.7147984280919266,0.08333334,0.07098766,219.0907,-0.35667494393873245,0.2810357847315899,-2.242686946761814,6.52881617494534,10.42
10.25,4.75,0.03436574,-2.3025850929940455,0.08333334,0.04012346,171.207,1.8245492920510458,-2.3025850929940455,-2.3025850929940455,6.757963020755096,7.66
10.75,4.75,-2.348114,-2.3025850929940455,0.08333334,0.04938272,129.5535,-1.7147984280919266,-1.3928353065382781,-2.3025850929940455,6.739352958584766,4.26
11.25,4.75,-1.940455,-2.3025850929940455,0.08333334,0.0,102.0664,-2.2072749131897207,0.05197689068235305,0.12024932519589267,5.731115825069501,4.01
11.75,4.75,-2.036866,-2.3025850929940455,0.08333334,0.0,101.0551,-1.7147984280919266,-2.3025850929940455,-1.0196876211532242,3.320663886905672,3.43
12.25,4.75,-1.889886,-1.9661128563728325,0.0,0.0,127.153,-1.4696759700589417,-0.3432583502939095,0.1838637004123264,2.839697570068206,0.09
12.75,4.75,-1.769069,-2.3025850929940455,0.0,0.0,168.1808,-1.6607312068216509,-2.3025850929940455,-0.11986858390105919,2.227347945099748,0.01
13.25,4.75,-1.577803,-2.2072749131897207,0.0,0.0,215.7842,-1.4696759700589417,0.5386086755382173,-0.34964499773026486,2.8897543451138907,0.37
13.75,4.75,-1.214375,-2.0402208285265546,0.0,0.0,266.462,-0.544727175441672,0.8332573231759285,-2.3025850929940455,2.609953609522409,2.49
14.25,4.75,-1.312692,-1.9661128563728325,0.08333334,0.0,318.7512,0.26236426446749106,-2.3025850929940455,-2.3025850929940455,3.754444323376034,10.32
14.75,4.75,-1.222221,-1.83258146374831,0.08333334,0.0,427.4891,-0.06187540371808753,-2.3025850929940455,-2.3025850929940455,3.9004072024458982,10.52
15.25,4.75,-1.205161,-2.120263536200091,0.08333334,0.0,372.3186,0.1484200051182734,-2.3025850929940455,-2.3025850929940455,4.588675595101112,13.23
5.25,5.25,0.6814102436395939,-1.5852084093335341,0.3333333,0.4783951,493.2596,0.5415744192956803,2.4983220923136518,4.28810585171059,7.1426732390816285,34.16777403035413
5.75,5.25,-0.01460614,-0.6733445532637655,0.0,1.734568,467.4475,-2.2072749131897207,2.395187975009009,1.282647099226562,7.934299974046219,18.54
6.25,5.25,-0.2458913,-0.916290731874155,0.08333334,1.021605,446.998,-0.06187540371808753,2.321082947876165,1.3811888501507286,7.810906869145721,17.2
6.75,5.25,-0.4357835,-2.3025850929940455,0.1666667,0.1512346,432.6719,-0.579818495252942,2.9676897312091977,-0.21469174367642407,8.482575866394543,5.4
7.25,5.25,-0.5847605,0.9631743177730054,0.0,0.01234568,425.089,1.1662709371419244,2.2117760777321887,-2.3025850929940455,10.26249118297856,5.89
7.75,5.25,-0.582479,0.6678293725756556,0.08333334,0.0,424.6105,-0.2876820724517809,2.1387726213488945,-0.857847074868711,8.699014122918259,14.48
