Selection	Begin Time (s)	End Time (s)
1	2.678250	6.936750
2	8.135250	9.410250
3	45.237750	47.379750
4	154.938750	158.610750
5	166.031250	167.357250
6	180.030750	182.070750
7	207.392250	209.100750
8	209.432250	215.450250
9	258.570750	259.820250
10	274.253250	279.072750
11	296.693250	299.753250
12	320.433750	323.774250
13	324.080250	327.318750
14	374.187750	375.233250
15	381.888750	383.673750
16	383.928750	386.249250
17	411.137250	412.539750
18	415.497750	416.543250
19	417.180750	419.475750
20	426.768750	427.890750
21	439.722750	442.578750
22	467.594250	470.348250
23	508.164750	509.261250
24	512.346750	515.228250
25	515.483250	516.962250
26	521.628750	523.490250
27	565.590750	568.548750
28	580.916250	587.240250
29	599.250750	602.412750
30	618.860250	619.880250
31	635.001750	640.688250
32	656.549250	658.512750
33	658.818750	660.756750
34	672.869250	675.954750
35	683.936250	688.704750
36	700.970250	702.627750
37	709.053750	710.124750
38	710.405250	712.623750
39	743.147250	744.575250
40	748.043250	750.057750
41	778.031250	779.816250
42	795.983250	798.813750
43	804.321750	807.891750
44	850.884750	857.055750
45	861.849750	865.419750
46	865.802250	867.255750
47	895.866750	898.646250
48	911.421750	912.849750
49	919.250250	920.907750
50	949.212750	950.564250
51	971.984250	973.896750
52	974.151750	976.191750
53	986.009250	987.258750
54	1014.467250	1015.767750
55	1030.481250	1031.807250
56	1036.805250	1038.513750
57	1050.116250	1052.640750
58	1067.660250	1068.731250
59	1089.462750	1091.069250
60	1135.082250	1136.408250
61	1146.608250	1148.163750
62	1159.613250	1164.458250
63	1191.998250	1193.222250
64	1203.906750	1205.156250
65	1251.234750	1258.145250
66	1269.594750	1272.195750
67	1272.986250	1274.975250
68	1282.854750	1283.874750
69	1294.814250	1295.834250
70	1304.606250	1306.110750
71	1306.544250	1309.910250
72	1324.088250	1328.499750
73	1376.592750	1377.944250
74	1382.355750	1385.568750
75	1407.830250	1410.329250
76	1414.026750	1418.846250
77	1419.101250	1420.962750
78	1445.646750	1447.100250
79	1447.712250	1450.772250
80	1451.001750	1452.098250
81	1463.343750	1466.939250
82	1499.783250	1503.021750
83	1528.751250	1533.519750
84	1540.583250	1546.040250
85	1557.668250	1558.892250
86	1578.552750	1579.700250
87	1584.647250	1586.916750
88	1589.262750	1590.869250
89	1602.675750	1604.256750
90	1675.784250	1676.931750
91	1682.669250	1683.918750
92	1706.843250	1708.220250
93	1728.263250	1729.997250
94	1732.751250	1735.352250
95	1735.632750	1737.570750
96	1766.079750	1769.292750
97	1778.115750	1779.416250
98	1805.885250	1807.619250
99	1807.874250	1808.945250
100	1809.939750	1811.673750
101	1813.713750	1815.677250
102	1817.462250	1818.813750
103	1819.068750	1823.786250
104	1848.266250	1853.774250
105	1885.572750	1886.822250
106	1892.508750	1894.191750
107	1896.461250	1898.526750
108	1916.147250	1918.799250
109	1925.684250	1927.061250
110	1945.293750	1947.384750
111	1965.158250	1966.407750
112	2009.043750	2010.063750
113	2011.109250	2013.863250
114	2018.402250	2023.170750
115	2028.678750	2030.438250
116	2049.359250	2050.379250
117	2072.615250	2073.992250
118	2074.374750	2078.225250
119	2082.279750	2083.427250
120	2099.135250	2100.410250
121	2100.894750	2101.914750
122	2103.776250	2105.229750
123	2225.207250	2227.017750
124	2233.775250	2237.574750
125	2240.940750	2242.751250
126	2244.816750	2245.989750
127	2247.366750	2248.412250
128	2259.734250	2264.528250
129	2272.433250	2275.085250
130	2276.360250	2277.431250
131	2278.476750	2280.873750
132	2299.131750	2303.186250
133	2314.967250	2320.347750
134	2339.319750	2340.722250
135	2355.486750	2356.812750
136	2367.216750	2368.262250
137	2368.542750	2370.761250
138	2410.158750	2412.938250
139	2453.279250	2456.390250
140	2464.065750	2465.111250
141	2530.467750	2531.921250
142	2532.176250	2535.108750
143	2539.214250	2541.917250
144	2542.274250	2543.370750
145	2546.022750	2547.246750
146	2574.480750	2575.934250
147	2583.915750	2584.986750
148	2609.288250	2610.818250
149	2637.032250	2639.531250
150	2641.086750	2644.146750
151	2671.890750	2675.766750
152	2710.803750	2713.047750
153	2739.057750	2740.664250
154	2764.532250	2766.878250
155	2792.225250	2793.678750
156	2802.450750	2803.853250
157	2805.128250	2807.219250
158	2808.060750	2809.514250
159	2809.820250	2811.146250
160	2819.102250	2820.734250
161	2838.456750	2843.148750
162	2857.556250	2862.299250
163	2875.916250	2878.185750
164	2896.418250	2897.438250
165	2909.499750	2915.364750
166	2916.512250	2918.883750
167	2922.555750	2925.411750
168	2942.088750	2943.440250
169	2944.026750	2945.505750
170	2972.484750	2974.575750
171	2976.105750	2977.406250
172	2984.418750	2985.489750
173	3019.226250	3023.102250
174	3041.003250	3042.584250
175	3066.732750	3067.829250
176	3073.209750	3074.739750
177	3075.657750	3079.865250
178	3113.066250	3115.029750
179	3119.900250	3121.838250
180	3142.161750	3145.782750
181	3177.734250	3178.856250
182	3195.890250	3197.241750
183	3198.465750	3201.908250
184	3250.001250	3251.123250
185	3252.296250	3253.775250
186	3292.611750	3295.569750
187	3303.296250	3304.698750
188	3305.718750	3307.325250
189	3321.146250	3322.268250
190	3324.665250	3325.685250
191	3334.661250	3335.961750
192	3369.876750	3372.758250
193	3373.727250	3374.874750
194	3376.200750	3378.827250
195	3392.495250	3396.855750
196	3400.910250	3402.185250
197	3426.002250	3431.127750
198	3436.100250	3438.395250
199	3469.683750	3470.729250
200	3482.102250	3483.249750
201	3488.502750	3489.624750
202	3504.338250	3505.715250
203	3506.429250	3508.392750
204	3511.376250	3512.396250
205	3512.651250	3513.722250
206	3515.915250	3517.853250
207	3520.862250	3522.290250
208	3542.817750	3543.990750
209	3555.975750	3558.755250
210	3587.493750	3589.074750
211	3597.489750	3600.039750
212	3614.574750	3616.079250
213	3617.456250	3619.215750
214	3640.253250	3641.936250
215	3668.966250	3669.986250
