Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
3279	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T012906.133087650.133101650.sel.3279.ch01.spectrogram.jpg	0.99702	20161104T070000Z_20161105T070000Z	bdf	5346.228749	5348.421749	MARS-20161105T000000Z-2khz.3279
3384	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T022659.140033034.140047034.sel.3384.ch01.spectrogram.jpg	0.99774	20161104T070000Z_20161105T070000Z	bdf	8819.50725	8820.52725	MARS-20161105T000000Z-2khz.3384
3384	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T022659.140033034.140047034.sel.3384.ch01.spectrogram.jpg	0.99774	20161104T070000Z_20161105T070000Z	bdf	8819.50725	8820.52725	MARS-20161105T000000Z-2khz.3384
3414	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T023420.140916048.140930048.sel.3414.ch01.spectrogram.jpg	0.60237	20161104T070000Z_20161105T070000Z	bdf	9260.91225	9262.13625	MARS-20161105T000000Z-2khz.3414
3417	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T023446.140967124.140981124.sel.3417.ch01.spectrogram.jpg	0.99356	20161104T070000Z_20161105T070000Z	bdf	9286.10625	9288.01875	MARS-20161105T000000Z-2khz.3417
3457	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161105T024320.141998370.142012370.sel.3457.ch01.spectrogram.jpg	0.65349	20161104T070000Z_20161105T070000Z	bdt	9800.69625	9804.67425	MARS-20161105T000000Z-2khz.3457
3486	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161105T025219.143077428.143091428.sel.3486.ch01.spectrogram.jpg	0.76481	20161104T070000Z_20161105T070000Z	bdt	10339.86825	10344.56025	MARS-20161105T000000Z-2khz.3486
3498	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161105T025439.143355964.143369964.sel.3498.ch01.spectrogram.jpg	0.55032	20161104T070000Z_20161105T070000Z	bdf	10479.78675	10483.17825	MARS-20161105T000000Z-2khz.3498
3541	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161105T030418.144514123.144528123.sel.3541.ch01.spectrogram.jpg	0.98672	20161104T070000Z_20161105T070000Z	bdt	11058.38175	11062.74225	MARS-20161105T000000Z-2khz.3541
3562	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161105T030952.145181356.145195356.sel.3562.ch01.spectrogram.jpg	0.95959	20161104T070000Z_20161105T070000Z	bdt	11392.94175	11395.41525	MARS-20161105T000000Z-2khz.3562
