Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
3904	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T000527.123049243.123063243.sel.3904.ch01.spectrogram.jpg	0.99977	20171011T070000Z_20171012T070000Z	bdf	327.36975	328.87425	MARS-20171012T000000Z-2khz.3904
3918	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T000807.123368580.123382580.sel.3918.ch01.spectrogram.jpg	0.91762	20171011T070000Z_20171012T070000Z	bdf	487.22925	488.35125	MARS-20171012T000000Z-2khz.3918
3950	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T001707.124449321.124463321.sel.3950.ch01.spectrogram.jpg	0.99532	20171011T070000Z_20171012T070000Z	bdf	1027.19175	1029.12975	MARS-20171012T000000Z-2khz.3950
3960	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T002000.124796401.124810401.sel.3960.ch01.spectrogram.jpg	0.99998	20171011T070000Z_20171012T070000Z	bdf	1200.92325	1202.47875	MARS-20171012T000000Z-2khz.3960
4027	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T003943.127161858.127175858.sel.4027.ch01.spectrogram.jpg	0.99331	20171011T070000Z_20171012T070000Z	bdf	2383.53675	2385.32175	MARS-20171012T000000Z-2khz.4027
4091	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T005356.128869848.128883848.sel.4091.ch01.spectrogram.jpg	0.99884	20171011T070000Z_20171012T070000Z	bdf	3236.51175	3240.33675	MARS-20171012T000000Z-2khz.4091
4091	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T005356.128869848.128883848.sel.4091.ch01.spectrogram.jpg	0.99884	20171011T070000Z_20171012T070000Z	bdf	3236.51175	3240.33675	MARS-20171012T000000Z-2khz.4091
4159	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T012059.132114034.132128034.sel.4159.ch01.spectrogram.jpg	0.99822	20171011T070000Z_20171012T070000Z	bdf	4859.51025	4861.52475	MARS-20171012T000000Z-2khz.4159
4209	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T013856.134266464.134280464.sel.4209.ch01.spectrogram.jpg	0.99957	20171011T070000Z_20171012T070000Z	bdf	5936.22225	5937.242249	MARS-20171012T000000Z-2khz.4209
4237	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T014524.135042735.135056735.sel.4237.ch01.spectrogram.jpg	0.99996	20171011T070000Z_20171012T070000Z	bdf	6324.00075	6325.73475	MARS-20171012T000000Z-2khz.4237
4238	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T014531.135059896.135073896.sel.4238.ch01.spectrogram.jpg	0.99768	20171011T070000Z_20171012T070000Z	bdf	6331.03875	6335.85825	MARS-20171012T000000Z-2khz.4238
4401	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T023120.140558232.140572232.sel.4401.ch01.spectrogram.jpg	0.81203	20171011T070000Z_20171012T070000Z	bdt	9080.19375	9085.03875	MARS-20171012T000000Z-2khz.4401
4423	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171012T023905.141485488.141499488.sel.4423.ch01.spectrogram.jpg	0.99989	20171011T070000Z_20171012T070000Z	bdf	9545.72175	9546.76725	MARS-20171012T000000Z-2khz.4423
