Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
20	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T070658.831517.845517.sel.20.ch01.spectrogram.jpg	0.99993	20151025T070000Z_20151026T070000Z	bdf	25618.50675	25620.01125	MARS-20151025T000000Z-2khz.20
55	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T071739.2113989.2127989.sel.55.ch01.spectrogram.jpg	0.99402	20151025T070000Z_20151026T070000Z	bdf	26259.85725	26261.13225	MARS-20151025T000000Z-2khz.55
64	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20151025T072040.2475018.2489018.sel.64.ch01.spectrogram.jpg	0.98499	20151025T070000Z_20151026T070000Z	bdf	26440.49925	26441.51925	MARS-20151025T000000Z-2khz.64
69	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T072305.2765641.2779641.sel.69.ch01.spectrogram.jpg	0.99961	20151025T070000Z_20151026T070000Z	bdf	26585.79825	26586.84375	MARS-20151025T000000Z-2khz.69
79	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T072815.3387790.3401790.sel.79.ch01.spectrogram.jpg	0.99993	20151025T070000Z_20151026T070000Z	bdf	26895.82725	26898.96375	MARS-20151025T000000Z-2khz.79
99	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20151025T073823.4601565.4615565.sel.99.ch01.spectrogram.jpg	0.699	20151025T070000Z_20151026T070000Z	bdf	27503.41575	27505.14975	MARS-20151025T000000Z-2khz.99
164	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T081403.8882148.8896148.sel.164.ch01.spectrogram.jpg	0.99833	20151025T070000Z_20151026T070000Z	bdf	29643.88575	29645.26275	MARS-20151025T000000Z-2khz.164
165	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T081444.8963773.8977773.sel.165.ch01.spectrogram.jpg	0.9997	20151025T070000Z_20151026T070000Z	bdf	29684.83875	29685.93525	MARS-20151025T000000Z-2khz.165
173	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T081733.9300934.9314934.sel.173.ch01.spectrogram.jpg	0.99997	20151025T070000Z_20151026T070000Z	bdf	29853.24075	29854.69425	MARS-20151025T000000Z-2khz.173
297	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T091003.15600735.15614735.sel.297.ch01.spectrogram.jpg	0.99978	20151025T070000Z_20151026T070000Z	bdf	33003.07725	33004.65825	MARS-20151025T000000Z-2khz.297
319	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20151025T091955.16787964.16801964.sel.319.ch01.spectrogram.jpg	0.78801	20151025T070000Z_20151026T070000Z	bdf	33595.850249	33599.11425	MARS-20151025T000000Z-2khz.319
348	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151025T092844.17844327.17858327.sel.348.ch01.spectrogram.jpg	0.99986	20151025T070000Z_20151026T070000Z	bdf	34124.66925	34126.65825	MARS-20151025T000000Z-2khz.348
