Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
25	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T074114.4945917.4959917.sel.25.ch01.spectrogram.jpg	0.99984	20170414T070000Z_20170415T070000Z	bdf	27674.57175	27678.34575	MARS-20170414T000000Z-2khz.25
80	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T084618.12750421.12764421.sel.80.ch01.spectrogram.jpg	0.99996	20170414T070000Z_20170415T070000Z	bdf	31578.06075	31579.36125	MARS-20170414T000000Z-2khz.80
80	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T084618.12750421.12764421.sel.80.ch01.spectrogram.jpg	0.99996	20170414T070000Z_20170415T070000Z	bdf	31578.06075	31579.36125	MARS-20170414T000000Z-2khz.80
120	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T092803.17762064.17776064.sel.120.ch01.spectrogram.jpg	0.96662	20170414T070000Z_20170415T070000Z	bdf	34083.94575	34085.11875	MARS-20170414T000000Z-2khz.120
120	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T092803.17762064.17776064.sel.120.ch01.spectrogram.jpg	0.96662	20170414T070000Z_20170415T070000Z	bdf	34083.94575	34085.11875	MARS-20170414T000000Z-2khz.120
214	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T142159.53032236.53046236.sel.214.ch01.spectrogram.jpg	0.99991	20170414T070000Z_20170415T070000Z	bdf	51719.10825	51720.12825	MARS-20170414T000000Z-2khz.214
239	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T152322.60398956.60412956.sel.239.ch01.spectrogram.jpg	0.98615	20170414T070000Z_20170415T070000Z	bdf	55402.37925	55403.57775	MARS-20170414T000000Z-2khz.239
315	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T172939.75554320.75568320.sel.315.ch01.spectrogram.jpg	0.99902	20170414T070000Z_20170415T070000Z	bdf	62979.47475	62981.84625	MARS-20170414T000000Z-2khz.315
319	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T173342.76038973.76052973.sel.319.ch01.spectrogram.jpg	0.99841	20170414T070000Z_20170415T070000Z	bdf	63222.46425	63223.50975	MARS-20170414T000000Z-2khz.319
358	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T180822.80199069.80213069.sel.358.ch01.spectrogram.jpg	0.99964	20170414T070000Z_20170415T070000Z	bdf	65302.39725	65303.67225	MARS-20170414T000000Z-2khz.358
428	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170414T185152.85418689.85432689.sel.428.ch01.spectrogram.jpg	0.7995399999999999	20170414T070000Z_20170415T070000Z	bdf	67912.06725	67913.62275	MARS-20170414T000000Z-2khz.428
502	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170414T191702.88443805.88457805.sel.502.ch01.spectrogram.jpg	0.63565	20170414T070000Z_20170415T070000Z	bdf	69422.99325	69427.81275	MARS-20170414T000000Z-2khz.502
638	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T201609.95532525.95546525.sel.638.ch01.spectrogram.jpg	0.99857	20170414T070000Z_20170415T070000Z	bdf	72969.17625	72970.34925	MARS-20170414T000000Z-2khz.638
722	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T231922.117518574.117532574.sel.722.ch01.spectrogram.jpg	0.97759	20170414T070000Z_20170415T070000Z	bdf	83962.27725	83963.29725	MARS-20170414T000000Z-2khz.722
723	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170414T232015.117631258.117645258.sel.723.ch01.spectrogram.jpg	0.9924	20170414T070000Z_20170415T070000Z	bdf	84015.82725	84022.43175	MARS-20170414T000000Z-2khz.723
