Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
7	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T074026.4848048.4862048.sel.07.ch01.spectrogram.jpg	0.99699	20180202T070000Z_20180203T070000Z	bdf	27626.83575	27628.21275	MARS-20180202T000000Z-2khz.7
23	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T093329.18413130.18427130.sel.23.ch01.spectrogram.jpg	0.99999	20180202T070000Z_20180203T070000Z	bdf	34409.55525	34410.57525	MARS-20180202T000000Z-2khz.23
32	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T103401.25677136.25691136.sel.32.ch01.spectrogram.jpg	0.99997	20180202T070000Z_20180203T070000Z	bdf	38041.52025	38042.61675	MARS-20180202T000000Z-2khz.32
82	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T105010.27614856.27628856.sel.82.ch01.spectrogram.jpg	0.99984	20180202T070000Z_20180203T070000Z	bdf	39010.26525	39011.59125	MARS-20180202T000000Z-2khz.82
99	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T105709.28454392.28468392.sel.99.ch01.spectrogram.jpg	0.99621	20180202T070000Z_20180203T070000Z	bdf	39429.56175	39431.83125	MARS-20180202T000000Z-2khz.99
106	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T110610.29536306.29550306.sel.106.ch01.spectrogram.jpg	0.99994	20180202T070000Z_20180203T070000Z	bdf	39970.87575	39972.43125	MARS-20180202T000000Z-2khz.106
139	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T124729.41692233.41706233.sel.139.ch01.spectrogram.jpg	0.99675	20180202T070000Z_20180203T070000Z	bdf	46049.08125	46050.15225	MARS-20180202T000000Z-2khz.139
197	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T141849.52653076.52667076.sel.197.ch01.spectrogram.jpg	0.99839	20180202T070000Z_20180203T070000Z	bdf	51529.00575	51531.07125	MARS-20180202T000000Z-2khz.197
214	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T143459.54593703.54607703.sel.214.ch01.spectrogram.jpg	0.99947	20180202T070000Z_20180203T070000Z	bdf	52499.63775	52501.06575	MARS-20180202T000000Z-2khz.214
248	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T154339.62834104.62848104.sel.248.ch01.spectrogram.jpg	0.99976	20180202T070000Z_20180203T070000Z	bdf	56619.97875	56621.12625	MARS-20180202T000000Z-2khz.248
327	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T174637.77588914.77602914.sel.327.ch01.spectrogram.jpg	0.99942	20180202T070000Z_20180203T070000Z	bdf	63997.33275	63998.58225	MARS-20180202T000000Z-2khz.327
480	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T205353.100061784.100075784.sel.480.ch01.spectrogram.jpg	0.99375	20180202T070000Z_20180203T070000Z	bdf	75233.42325	75235.36125	MARS-20180202T000000Z-2khz.480
659	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T222510.111014365.111028365.sel.659.ch01.spectrogram.jpg	0.99577	20180202T070000Z_20180203T070000Z	bdf	80710.08375	80711.28225	MARS-20180202T000000Z-2khz.659
701	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180202T231333.116822755.116836755.sel.701.ch01.spectrogram.jpg	0.99986	20180202T070000Z_20180203T070000Z	bdf	83613.71775	83616.03825	MARS-20180202T000000Z-2khz.701
