Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
57	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T081351.8857591.8871591.sel.57.ch01.spectrogram.jpg	0.99913	20170126T070000Z_20170127T070000Z	bdf	29631.74775	29632.84425	MARS-20170126T000000Z-2khz.57
57	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T081351.8857591.8871591.sel.57.ch01.spectrogram.jpg	0.99913	20170126T070000Z_20170127T070000Z	bdf	29631.74775	29632.84425	MARS-20170126T000000Z-2khz.57
57	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T081351.8857591.8871591.sel.57.ch01.spectrogram.jpg	0.99913	20170126T070000Z_20170127T070000Z	bdf	29631.74775	29632.84425	MARS-20170126T000000Z-2khz.57
249	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T150433.58142640.58156640.sel.249.ch01.spectrogram.jpg	0.99647	20170126T070000Z_20170127T070000Z	bdf	54273.95325	54275.68725	MARS-20170126T000000Z-2khz.249
249	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T150433.58142640.58156640.sel.249.ch01.spectrogram.jpg	0.99647	20170126T070000Z_20170127T070000Z	bdf	54273.95325	54275.68725	MARS-20170126T000000Z-2khz.249
250	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T150551.58298266.58312266.sel.250.ch01.spectrogram.jpg	0.99873	20170126T070000Z_20170127T070000Z	bdf	54351.85575	54353.41125	MARS-20170126T000000Z-2khz.250
325	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T175956.79187560.79201560.sel.325.ch01.spectrogram.jpg	0.99998	20170126T070000Z_20170127T070000Z	bdf	64796.06925	64798.49175	MARS-20170126T000000Z-2khz.325
325	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T175956.79187560.79201560.sel.325.ch01.spectrogram.jpg	0.99998	20170126T070000Z_20170127T070000Z	bdf	64796.06925	64798.49175	MARS-20170126T000000Z-2khz.325
409	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T212416.103708029.103722029.sel.409.ch01.spectrogram.jpg	0.99858	20170126T070000Z_20170127T070000Z	bdf	77056.90275	77058.12675	MARS-20170126T000000Z-2khz.409
448	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T234155.120225858.120239858.sel.448.ch01.spectrogram.jpg	0.99364	20170126T070000Z_20170127T070000Z	bdf	85315.71525	85317.14325	MARS-20170126T000000Z-2khz.448
448	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170126T234155.120225858.120239858.sel.448.ch01.spectrogram.jpg	0.99364	20170126T070000Z_20170127T070000Z	bdf	85315.71525	85317.14325	MARS-20170126T000000Z-2khz.448
