Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
27	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T071716.2066559.2080559.sel.27.ch01.spectrogram.jpg	0.99952	20160521T070000Z_20160522T070000Z	bdf	26236.21875	26237.34075	MARS-20160521T000000Z-2khz.27
27	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T071716.2066559.2080559.sel.27.ch01.spectrogram.jpg	0.99952	20160521T070000Z_20160522T070000Z	bdf	26236.21875	26237.34075	MARS-20160521T000000Z-2khz.27
36	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T072434.2944269.2958269.sel.36.ch01.spectrogram.jpg	0.99984	20160521T070000Z_20160522T070000Z	bdt	26674.48725	26676.78225	MARS-20160521T000000Z-2khz.36
36	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T072434.2944269.2958269.sel.36.ch01.spectrogram.jpg	0.99984	20160521T070000Z_20160522T070000Z	bdt	26674.48725	26676.78225	MARS-20160521T000000Z-2khz.36
36	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T072434.2944269.2958269.sel.36.ch01.spectrogram.jpg	0.99984	20160521T070000Z_20160522T070000Z	bdt	26674.48725	26676.78225	MARS-20160521T000000Z-2khz.36
41	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T072907.3491728.3505728.sel.41.ch01.spectrogram.jpg	0.8870100000000001	20160521T070000Z_20160522T070000Z	bdf	26947.94925	26950.77975	MARS-20160521T000000Z-2khz.41
51	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T074235.5104935.5118935.sel.51.ch01.spectrogram.jpg	0.82957	20160521T070000Z_20160522T070000Z	bdt	27755.30475	27756.63075	MARS-20160521T000000Z-2khz.51
69	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T082806.10567519.10581519.sel.69.ch01.spectrogram.jpg	0.99098	20160521T070000Z_20160522T070000Z	bdt	30486.45675	30488.06325	MARS-20160521T000000Z-2khz.69
71	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T083230.11095879.11109879.sel.71.ch01.spectrogram.jpg	0.9704	20160521T070000Z_20160522T070000Z	bdt	30750.81525	30752.06475	MARS-20160521T000000Z-2khz.71
109	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T094558.19911000.19925000.sel.109.ch01.spectrogram.jpg	0.91836	20160521T070000Z_20160522T070000Z	bdf	35158.31175	35159.68875	MARS-20160521T000000Z-2khz.109
117	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T100123.21761050.21775050.sel.117.ch01.spectrogram.jpg	0.99917	20160521T070000Z_20160522T070000Z	bdf	36083.19675	36084.85425	MARS-20160521T000000Z-2khz.117
127	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T104230.26694586.26708586.sel.127.ch01.spectrogram.jpg	0.9946	20160521T070000Z_20160522T070000Z	bdf	38550.24525	38551.34175	MARS-20160521T000000Z-2khz.127
160	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T114352.34059802.34073802.sel.160.ch01.spectrogram.jpg	0.7783800000000001	20160521T070000Z_20160522T070000Z	bdt	42232.57275	42234.23025	MARS-20160521T000000Z-2khz.160
160	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T114352.34059802.34073802.sel.160.ch01.spectrogram.jpg	0.7783800000000001	20160521T070000Z_20160522T070000Z	bdt	42232.57275	42234.23025	MARS-20160521T000000Z-2khz.160
161	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T114411.34096369.34110369.sel.161.ch01.spectrogram.jpg	0.99059	20160521T070000Z_20160522T070000Z	bdf	42251.13675	42252.23325	MARS-20160521T000000Z-2khz.161
163	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T115456.35387026.35401026.sel.163.ch01.spectrogram.jpg	0.53956	20160521T070000Z_20160522T070000Z	bdt	42896.10825	42897.91875	MARS-20160521T000000Z-2khz.163
195	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131335.44824908.44838908.sel.195.ch01.spectrogram.jpg	0.97327	20160521T070000Z_20160522T070000Z	bdt	47615.36775	47616.54075	MARS-20160521T000000Z-2khz.195
195	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131335.44824908.44838908.sel.195.ch01.spectrogram.jpg	0.97327	20160521T070000Z_20160522T070000Z	bdt	47615.36775	47616.54075	MARS-20160521T000000Z-2khz.195
197	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131445.44965846.44979846.sel.197.ch01.spectrogram.jpg	0.74495	20160521T070000Z_20160522T070000Z	bdt	47685.59475	47687.25225	MARS-20160521T000000Z-2khz.197
197	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131445.44965846.44979846.sel.197.ch01.spectrogram.jpg	0.74495	20160521T070000Z_20160522T070000Z	bdt	47685.59475	47687.25225	MARS-20160521T000000Z-2khz.197
197	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131445.44965846.44979846.sel.197.ch01.spectrogram.jpg	0.74495	20160521T070000Z_20160522T070000Z	bdt	47685.59475	47687.25225	MARS-20160521T000000Z-2khz.197
202	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131936.45547884.45561884.sel.202.ch01.spectrogram.jpg	0.99998	20160521T070000Z_20160522T070000Z	bdf	47976.19275	47978.69175	MARS-20160521T000000Z-2khz.202
202	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T131936.45547884.45561884.sel.202.ch01.spectrogram.jpg	0.99998	20160521T070000Z_20160522T070000Z	bdf	47976.19275	47978.69175	MARS-20160521T000000Z-2khz.202
206	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T132348.46051789.46065789.sel.206.ch01.spectrogram.jpg	0.64849	20160521T070000Z_20160522T070000Z	bdt	48228.61725	48230.17275	MARS-20160521T000000Z-2khz.206
216	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T134112.48139117.48153117.sel.216.ch01.spectrogram.jpg	0.98846	20160521T070000Z_20160522T070000Z	bdt	49272.17925	49273.93875	MARS-20160521T000000Z-2khz.216
217	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T134446.48567798.48581798.sel.217.ch01.spectrogram.jpg	0.99989	20160521T070000Z_20160522T070000Z	bdt	49486.20075	49488.59775	MARS-20160521T000000Z-2khz.217
217	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T134446.48567798.48581798.sel.217.ch01.spectrogram.jpg	0.99989	20160521T070000Z_20160522T070000Z	bdt	49486.20075	49488.59775	MARS-20160521T000000Z-2khz.217
226	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T140444.50963880.50977880.sel.226.ch01.spectrogram.jpg	0.99967	20160521T070000Z_20160522T070000Z	bdt	50684.26725	50686.61325	MARS-20160521T000000Z-2khz.226
226	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T140444.50963880.50977880.sel.226.ch01.spectrogram.jpg	0.99967	20160521T070000Z_20160522T070000Z	bdt	50684.26725	50686.61325	MARS-20160521T000000Z-2khz.226
228	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T140852.51458452.51472452.sel.228.ch01.spectrogram.jpg	0.89205	20160521T070000Z_20160522T070000Z	bdt	50932.05075	50933.40225	MARS-20160521T000000Z-2khz.228
228	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T140852.51458452.51472452.sel.228.ch01.spectrogram.jpg	0.89205	20160521T070000Z_20160522T070000Z	bdt	50932.05075	50933.40225	MARS-20160521T000000Z-2khz.228
228	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T140852.51458452.51472452.sel.228.ch01.spectrogram.jpg	0.89205	20160521T070000Z_20160522T070000Z	bdt	50932.05075	50933.40225	MARS-20160521T000000Z-2khz.228
228	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T140852.51458452.51472452.sel.228.ch01.spectrogram.jpg	0.89205	20160521T070000Z_20160522T070000Z	bdt	50932.05075	50933.40225	MARS-20160521T000000Z-2khz.228
228	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T140852.51458452.51472452.sel.228.ch01.spectrogram.jpg	0.89205	20160521T070000Z_20160522T070000Z	bdt	50932.05075	50933.40225	MARS-20160521T000000Z-2khz.228
253	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T142123.52961040.52975040.sel.253.ch01.spectrogram.jpg	0.9997	20160521T070000Z_20160522T070000Z	bdf	51683.33175	51684.70875	MARS-20160521T000000Z-2khz.253
267	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T143134.54186009.54200009.sel.267.ch01.spectrogram.jpg	0.73431	20160521T070000Z_20160522T070000Z	bdt	52294.94925	52298.06025	MARS-20160521T000000Z-2khz.267
283	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T145020.56436690.56450690.sel.283.ch01.spectrogram.jpg	0.9926	20160521T070000Z_20160522T070000Z	bdt	53420.79975	53422.89075	MARS-20160521T000000Z-2khz.283
320	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T150713.58461211.58475211.sel.320.ch01.spectrogram.jpg	0.98056	20160521T070000Z_20160522T070000Z	bdf	54433.43025	54434.78175	MARS-20160521T000000Z-2khz.320
320	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T150713.58461211.58475211.sel.320.ch01.spectrogram.jpg	0.98056	20160521T070000Z_20160522T070000Z	bdf	54433.43025	54434.78175	MARS-20160521T000000Z-2khz.320
410	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T161148.66210355.66224355.sel.410.ch01.spectrogram.jpg	0.99873	20160521T070000Z_20160522T070000Z	bdf	58308.104249	58309.25175	MARS-20160521T000000Z-2khz.410
582	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T172655.75226186.75240186.sel.582.ch01.spectrogram.jpg	0.99892	20160521T070000Z_20160522T070000Z	bdf	62815.79025	62817.39675	MARS-20160521T000000Z-2khz.582
591	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T173014.75623221.75637221.sel.591.ch01.spectrogram.jpg	0.99943	20160521T070000Z_20160522T070000Z	bdf	63014.51175	63015.71025	MARS-20160521T000000Z-2khz.591
592	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T173020.75634977.75648977.sel.592.ch01.spectrogram.jpg	0.98739	20160521T070000Z_20160522T070000Z	bdt	63020.37675	63021.60075	MARS-20160521T000000Z-2khz.592
592	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T173020.75634977.75648977.sel.592.ch01.spectrogram.jpg	0.98739	20160521T070000Z_20160522T070000Z	bdt	63020.37675	63021.60075	MARS-20160521T000000Z-2khz.592
611	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T173608.76331739.76345739.sel.611.ch01.spectrogram.jpg	0.99306	20160521T070000Z_20160522T070000Z	bdf	63368.78325	63369.95625	MARS-20160521T000000Z-2khz.611
611	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T173608.76331739.76345739.sel.611.ch01.spectrogram.jpg	0.99306	20160521T070000Z_20160522T070000Z	bdf	63368.78325	63369.95625	MARS-20160521T000000Z-2khz.611
616	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T173718.76475941.76489941.sel.616.ch01.spectrogram.jpg	0.99553	20160521T070000Z_20160522T070000Z	bdf	63438.95925	63443.98275	MARS-20160521T000000Z-2khz.616
627	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T174015.76825648.76839648.sel.627.ch01.spectrogram.jpg	0.99454	20160521T070000Z_20160522T070000Z	bdf	63615.03675	63617.61225	MARS-20160521T000000Z-2khz.627
686	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T180606.79926525.79940525.sel.686.ch01.spectrogram.jpg	0.99996	20160521T070000Z_20160522T070000Z	bdf	65166.09975	65167.42575	MARS-20160521T000000Z-2khz.686
712	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T181613.81141625.81155625.sel.712.ch01.spectrogram.jpg	0.7893899999999999	20160521T070000Z_20160522T070000Z	bdt	65773.50975	65775.11625	MARS-20160521T000000Z-2khz.712
712	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T181613.81141625.81155625.sel.712.ch01.spectrogram.jpg	0.7893899999999999	20160521T070000Z_20160522T070000Z	bdt	65773.50975	65775.11625	MARS-20160521T000000Z-2khz.712
728	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T182604.82322989.82336989.sel.728.ch01.spectrogram.jpg	0.8073600000000001	20160521T070000Z_20160522T070000Z	bdt	66364.01325	66365.97675	MARS-20160521T000000Z-2khz.728
728	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T182604.82322989.82336989.sel.728.ch01.spectrogram.jpg	0.8073600000000001	20160521T070000Z_20160522T070000Z	bdt	66364.01325	66365.97675	MARS-20160521T000000Z-2khz.728
735	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T183027.82849641.82863641.sel.735.ch01.spectrogram.jpg	0.98205	20160521T070000Z_20160522T070000Z	bdt	66627.42825	66629.21325	MARS-20160521T000000Z-2khz.735
735	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T183027.82849641.82863641.sel.735.ch01.spectrogram.jpg	0.98205	20160521T070000Z_20160522T070000Z	bdt	66627.42825	66629.21325	MARS-20160521T000000Z-2khz.735
735	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T183027.82849641.82863641.sel.735.ch01.spectrogram.jpg	0.98205	20160521T070000Z_20160522T070000Z	bdt	66627.42825	66629.21325	MARS-20160521T000000Z-2khz.735
740	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T183725.83685403.83699403.sel.740.ch01.spectrogram.jpg	0.99142	20160521T070000Z_20160522T070000Z	bdt	67045.22025	67047.18375	MARS-20160521T000000Z-2khz.740
748	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T184638.84792256.84806256.sel.748.ch01.spectrogram.jpg	0.79398	20160521T070000Z_20160522T070000Z	bdt	67598.59575	67600.66125	MARS-20160521T000000Z-2khz.748
781	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T191816.88586886.88600886.sel.781.ch01.spectrogram.jpg	0.99367	20160521T070000Z_20160522T070000Z	bdf	69496.43325	69497.45325	MARS-20160521T000000Z-2khz.781
786	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T192001.88796394.88810394.sel.786.ch01.spectrogram.jpg	0.9993	20160521T070000Z_20160522T070000Z	bdf	69601.18725	69602.20725	MARS-20160521T000000Z-2khz.786
792	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T192553.89500653.89514653.sel.792.ch01.spectrogram.jpg	0.99862	20160521T070000Z_20160522T070000Z	bdf	69953.29125	69954.36225	MARS-20160521T000000Z-2khz.792
792	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T192553.89500653.89514653.sel.792.ch01.spectrogram.jpg	0.99862	20160521T070000Z_20160522T070000Z	bdf	69953.29125	69954.36225	MARS-20160521T000000Z-2khz.792
909	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T204528.99051219.99065219.sel.909.ch01.spectrogram.jpg	0.99984	20160521T070000Z_20160522T070000Z	bdf	74728.59975	74729.61975	MARS-20160521T000000Z-2khz.909
911	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T204747.99330724.99344724.sel.911.ch01.spectrogram.jpg	0.99988	20160521T070000Z_20160522T070000Z	bdf	74867.70225	74870.02275	MARS-20160521T000000Z-2khz.911
919	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T205639.100393233.100407233.sel.919.ch01.spectrogram.jpg	0.95831	20160521T070000Z_20160522T070000Z	bdf	75399.53025	75400.70325	MARS-20160521T000000Z-2khz.919
926	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210326.101207626.101221626.sel.926.ch01.spectrogram.jpg	0.95189	20160521T070000Z_20160522T070000Z	bdt	75806.56125	75808.06575	MARS-20160521T000000Z-2khz.926
926	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210326.101207626.101221626.sel.926.ch01.spectrogram.jpg	0.95189	20160521T070000Z_20160522T070000Z	bdt	75806.56125	75808.06575	MARS-20160521T000000Z-2khz.926
926	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210326.101207626.101221626.sel.926.ch01.spectrogram.jpg	0.95189	20160521T070000Z_20160522T070000Z	bdt	75806.56125	75808.06575	MARS-20160521T000000Z-2khz.926
926	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210326.101207626.101221626.sel.926.ch01.spectrogram.jpg	0.95189	20160521T070000Z_20160522T070000Z	bdt	75806.56125	75808.06575	MARS-20160521T000000Z-2khz.926
926	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210326.101207626.101221626.sel.926.ch01.spectrogram.jpg	0.95189	20160521T070000Z_20160522T070000Z	bdt	75806.56125	75808.06575	MARS-20160521T000000Z-2khz.926
928	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210423.101322682.101336682.sel.928.ch01.spectrogram.jpg	0.8313200000000001	20160521T070000Z_20160522T070000Z	bdt	75863.60475	75866.07825	MARS-20160521T000000Z-2khz.928
929	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210604.101523265.101537265.sel.929.ch01.spectrogram.jpg	0.97999	20160521T070000Z_20160522T070000Z	bdt	75964.12575	75966.14025	MARS-20160521T000000Z-2khz.929
929	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T210604.101523265.101537265.sel.929.ch01.spectrogram.jpg	0.97999	20160521T070000Z_20160522T070000Z	bdt	75964.12575	75966.14025	MARS-20160521T000000Z-2khz.929
935	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T211410.102496039.102510039.sel.935.ch01.spectrogram.jpg	0.99669	20160521T070000Z_20160522T070000Z	bdt	76450.25775	76452.78225	MARS-20160521T000000Z-2khz.935
935	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20160521T211410.102496039.102510039.sel.935.ch01.spectrogram.jpg	0.99669	20160521T070000Z_20160522T070000Z	bdt	76450.25775	76452.78225	MARS-20160521T000000Z-2khz.935
976	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T214956.106786593.106800593.sel.976.ch01.spectrogram.jpg	0.99998	20160521T070000Z_20160522T070000Z	bdf	78596.13375	78597.45975	MARS-20160521T000000Z-2khz.976
1010	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T220911.109100284.109114284.sel.1010.ch01.spectrogram.jpg	0.99899	20160521T070000Z_20160522T070000Z	bdf	79751.71725	79755.56775	MARS-20160521T000000Z-2khz.1010
1064	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T225158.114235219.114249219.sel.1064.ch01.spectrogram.jpg	0.99897	20160521T070000Z_20160522T070000Z	bdf	82318.82775	82323.39225	MARS-20160521T000000Z-2khz.1064
1067	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160521T225410.114496237.114510237.sel.1067.ch01.spectrogram.jpg	0.9987	20160521T070000Z_20160522T070000Z	bdf	82450.76475	82452.47325	MARS-20160521T000000Z-2khz.1067
