Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
1	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T070000.0.8913.sel.01.ch01.spectrogram.jpg	0.99917	20170812T070000Z_20170813T070000Z	bdf	25200.43425	25201.47975	MARS-20170812T000000Z-2khz.1
25	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T072101.2516379.2530379.sel.25.ch01.spectrogram.jpg	0.99998	20170812T070000Z_20170813T070000Z	bdf	26461.05225	26462.32725	MARS-20170812T000000Z-2khz.25
39	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T072913.3500628.3514628.sel.39.ch01.spectrogram.jpg	0.99603	20170812T070000Z_20170813T070000Z	bdf	26953.12575	26954.50275	MARS-20170812T000000Z-2khz.39
55	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T073648.4411003.4425003.sel.55.ch01.spectrogram.jpg	0.6351399999999999	20170812T070000Z_20170813T070000Z	bdt	27408.19875	27409.80525	MARS-20170812T000000Z-2khz.55
55	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T073648.4411003.4425003.sel.55.ch01.spectrogram.jpg	0.6351399999999999	20170812T070000Z_20170813T070000Z	bdt	27408.19875	27409.80525	MARS-20170812T000000Z-2khz.55
61	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T073937.4750944.4764944.sel.61.ch01.spectrogram.jpg	0.99992	20170812T070000Z_20170813T070000Z	bdt	27577.26375	27580.68075	MARS-20170812T000000Z-2khz.61
61	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T073937.4750944.4764944.sel.61.ch01.spectrogram.jpg	0.99992	20170812T070000Z_20170813T070000Z	bdt	27577.26375	27580.68075	MARS-20170812T000000Z-2khz.61
61	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T073937.4750944.4764944.sel.61.ch01.spectrogram.jpg	0.99992	20170812T070000Z_20170813T070000Z	bdt	27577.26375	27580.68075	MARS-20170812T000000Z-2khz.61
64	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T074016.4829305.4843305.sel.64.ch01.spectrogram.jpg	0.99512	20170812T070000Z_20170813T070000Z	bdt	27616.50825	27619.79775	MARS-20170812T000000Z-2khz.64
64	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T074016.4829305.4843305.sel.64.ch01.spectrogram.jpg	0.99512	20170812T070000Z_20170813T070000Z	bdt	27616.50825	27619.79775	MARS-20170812T000000Z-2khz.64
64	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T074016.4829305.4843305.sel.64.ch01.spectrogram.jpg	0.99512	20170812T070000Z_20170813T070000Z	bdt	27616.50825	27619.79775	MARS-20170812T000000Z-2khz.64
78	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T074926.5926060.5940060.sel.78.ch01.spectrogram.jpg	0.6087	20170812T070000Z_20170813T070000Z	bdf	28166.00775	28167.05325	MARS-20170812T000000Z-2khz.78
140	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T081048.8491335.8505335.sel.140.ch01.spectrogram.jpg	0.9972	20170812T070000Z_20170813T070000Z	bdt	29448.275249	29450.06025	MARS-20170812T000000Z-2khz.140
153	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T081430.8936157.8950157.sel.153.ch01.spectrogram.jpg	0.99715	20170812T070000Z_20170813T070000Z	bdf	29670.40575	29672.75175	MARS-20170812T000000Z-2khz.153
164	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T081920.9515109.9529109.sel.164.ch01.spectrogram.jpg	0.99619	20170812T070000Z_20170813T070000Z	bdt	29960.08575	29962.02375	MARS-20170812T000000Z-2khz.164
167	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T081956.9588600.9602600.sel.167.ch01.spectrogram.jpg	0.68514	20170812T070000Z_20170813T070000Z	bdt	29996.95875	29998.64175	MARS-20170812T000000Z-2khz.167
174	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170812T082110.9737290.9751290.sel.174.ch01.spectrogram.jpg	0.89681	20170812T070000Z_20170813T070000Z	bdt	30070.98525	30073.30575	MARS-20170812T000000Z-2khz.174
187	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T082628.10373439.10387439.sel.187.ch01.spectrogram.jpg	0.99964	20170812T070000Z_20170813T070000Z	bdt	30388.79175	30391.64775	MARS-20170812T000000Z-2khz.187
187	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T082628.10373439.10387439.sel.187.ch01.spectrogram.jpg	0.99964	20170812T070000Z_20170813T070000Z	bdt	30388.79175	30391.64775	MARS-20170812T000000Z-2khz.187
187	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T082628.10373439.10387439.sel.187.ch01.spectrogram.jpg	0.99964	20170812T070000Z_20170813T070000Z	bdt	30388.79175	30391.64775	MARS-20170812T000000Z-2khz.187
187	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170812T082628.10373439.10387439.sel.187.ch01.spectrogram.jpg	0.99964	20170812T070000Z_20170813T070000Z	bdt	30388.79175	30391.64775	MARS-20170812T000000Z-2khz.187
