Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
37	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T080858.8271448.8285448.sel.37.ch01.spectrogram.jpg	0.99987	20151215T070000Z_20151216T070000Z	bdf	29338.06425	29340.38475	MARS-20151215T000000Z-2khz.37
68	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T082305.9965082.9979082.sel.68.ch01.spectrogram.jpg	0.92723	20151215T070000Z_20151216T070000Z	bdf	30185.37825	30186.70425	MARS-20151215T000000Z-2khz.68
68	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T082305.9965082.9979082.sel.68.ch01.spectrogram.jpg	0.92723	20151215T070000Z_20151216T070000Z	bdf	30185.37825	30186.70425	MARS-20151215T000000Z-2khz.68
98	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T084429.12533595.12547595.sel.98.ch01.spectrogram.jpg	0.99795	20151215T070000Z_20151216T070000Z	bdf	31469.25225	31471.34325	MARS-20151215T000000Z-2khz.98
98	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T084429.12533595.12547595.sel.98.ch01.spectrogram.jpg	0.99795	20151215T070000Z_20151216T070000Z	bdf	31469.25225	31471.34325	MARS-20151215T000000Z-2khz.98
200	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T101406.23287965.23301965.sel.200.ch01.spectrogram.jpg	0.99985	20151215T070000Z_20151216T070000Z	bdf	36846.59025	36848.37525	MARS-20151215T000000Z-2khz.200
208	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T101812.23780013.23794013.sel.208.ch01.spectrogram.jpg	0.99687	20151215T070000Z_20151216T070000Z	bdf	37092.63975	37094.37375	MARS-20151215T000000Z-2khz.208
257	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20151215T103331.25618486.25632486.sel.257.ch01.spectrogram.jpg	0.7215699999999999	20151215T070000Z_20151216T070000Z	bdf	38011.35375	38014.13325	MARS-20151215T000000Z-2khz.257
391	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T114159.33834484.33848484.sel.391.ch01.spectrogram.jpg	0.82976	20151215T070000Z_20151216T070000Z	bdf	42119.990249	42121.49475	MARS-20151215T000000Z-2khz.391
494	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151215T151325.59205378.59219378.sel.494.ch01.spectrogram.jpg	0.99971	20151215T070000Z_20151216T070000Z	bdf	54805.57725	54806.80125	MARS-20151215T000000Z-2khz.494
