Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
12	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T072738.3312616.3326616.sel.12.ch01.spectrogram.jpg	0.99795	20180512T070000Z_20180513T070000Z	bdf	26858.75025	26860.86675	MARS-20180512T000000Z-2khz.12
16	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T072953.3581565.3595565.sel.16.ch01.spectrogram.jpg	0.91158	20180512T070000Z_20180513T070000Z	bdt	26993.08425	26995.48125	MARS-20180512T000000Z-2khz.16
44	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T081513.9022347.9036347.sel.44.ch01.spectrogram.jpg	0.99665	20180512T070000Z_20180513T070000Z	bdf	29713.50075	29715.84675	MARS-20180512T000000Z-2khz.44
85	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T092807.17768770.17782770.sel.85.ch01.spectrogram.jpg	0.71572	20180512T070000Z_20180513T070000Z	bdf	34087.33725	34088.43375	MARS-20180512T000000Z-2khz.85
86	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T093249.18332703.18346703.sel.86.ch01.spectrogram.jpg	0.65127	20180512T070000Z_20180513T070000Z	bdf	34369.03575	34370.66775	MARS-20180512T000000Z-2khz.86
86	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T093249.18332703.18346703.sel.86.ch01.spectrogram.jpg	0.65127	20180512T070000Z_20180513T070000Z	bdf	34369.03575	34370.66775	MARS-20180512T000000Z-2khz.86
86	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T093249.18332703.18346703.sel.86.ch01.spectrogram.jpg	0.65127	20180512T070000Z_20180513T070000Z	bdf	34369.03575	34370.66775	MARS-20180512T000000Z-2khz.86
99	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T094702.20040999.20054999.sel.99.ch01.spectrogram.jpg	0.99932	20180512T070000Z_20180513T070000Z	bdt	35222.95425	35225.04525	MARS-20180512T000000Z-2khz.99
103	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095034.20464758.20478758.sel.103.ch01.spectrogram.jpg	0.99994	20180512T070000Z_20180513T070000Z	bdt	35434.60425	35437.15425	MARS-20180512T000000Z-2khz.103
103	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095034.20464758.20478758.sel.103.ch01.spectrogram.jpg	0.99994	20180512T070000Z_20180513T070000Z	bdt	35434.60425	35437.15425	MARS-20180512T000000Z-2khz.103
113	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095911.21500083.21514083.sel.113.ch01.spectrogram.jpg	0.9993	20180512T070000Z_20180513T070000Z	bdt	35951.76975	35955.31425	MARS-20180512T000000Z-2khz.113
113	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095911.21500083.21514083.sel.113.ch01.spectrogram.jpg	0.9993	20180512T070000Z_20180513T070000Z	bdt	35951.76975	35955.31425	MARS-20180512T000000Z-2khz.113
113	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095911.21500083.21514083.sel.113.ch01.spectrogram.jpg	0.9993	20180512T070000Z_20180513T070000Z	bdt	35951.76975	35955.31425	MARS-20180512T000000Z-2khz.113
113	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20180512T095911.21500083.21514083.sel.113.ch01.spectrogram.jpg	0.9993	20180512T070000Z_20180513T070000Z	bdt	35951.76975	35955.31425	MARS-20180512T000000Z-2khz.113
124	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20180512T104612.27140683.27154683.sel.124.ch01.spectrogram.jpg	0.99982	20180512T070000Z_20180513T070000Z	bdf	38772.63075	38775.05325	MARS-20180512T000000Z-2khz.124
