Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
101	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T101549.23492526.23506526.sel.101.ch01.spectrogram.jpg	0.9275	20170506T070000Z_20170507T070000Z	bdf	36949.10025	36950.42625	MARS-20170506T000000Z-2khz.101
195	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T130847.44249526.44263526.sel.195.ch01.spectrogram.jpg	0.99915	20170506T070000Z_20170507T070000Z	bdf	47327.60025	47328.92625	MARS-20170506T000000Z-2khz.195
196	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T131033.44462094.44476094.sel.196.ch01.spectrogram.jpg	0.53155	20170506T070000Z_20170507T070000Z	bdf	47433.80775	47435.28675	MARS-20170506T000000Z-2khz.196
206	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T132959.46793380.46807380.sel.206.ch01.spectrogram.jpg	0.99979	20170506T070000Z_20170507T070000Z	bdf	48599.61675	48600.76425	MARS-20170506T000000Z-2khz.206
206	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T132959.46793380.46807380.sel.206.ch01.spectrogram.jpg	0.99979	20170506T070000Z_20170507T070000Z	bdf	48599.61675	48600.76425	MARS-20170506T000000Z-2khz.206
224	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170506T135148.49410624.49424624.sel.224.ch01.spectrogram.jpg	0.538	20170506T070000Z_20170507T070000Z	bdf	49908.07275	49909.55175	MARS-20170506T000000Z-2khz.224
323	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170506T161628.66771483.66785483.sel.323.ch01.spectrogram.jpg	0.734	20170506T070000Z_20170507T070000Z	bdf	58588.40025	58590.08325	MARS-20170506T000000Z-2khz.323
359	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T173835.76624810.76638810.sel.359.ch01.spectrogram.jpg	0.99918	20170506T070000Z_20170507T070000Z	bdf	63515.35725	63516.45375	MARS-20170506T000000Z-2khz.359
362	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T174753.77740945.77754945.sel.362.ch01.spectrogram.jpg	0.99946	20170506T070000Z_20170507T070000Z	bdf	64073.24625	64074.69975	MARS-20170506T000000Z-2khz.362
362	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20170506T174753.77740945.77754945.sel.362.ch01.spectrogram.jpg	0.99946	20170506T070000Z_20170507T070000Z	bdf	64073.24625	64074.69975	MARS-20170506T000000Z-2khz.362
447	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20170506T233435.119344858.119358858.sel.447.ch01.spectrogram.jpg	0.8653700000000001	20170506T070000Z_20170507T070000Z	bdf	84875.38125	84876.47775	MARS-20170506T000000Z-2khz.447
