Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
701	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T001012.123619143.123633143.sel.701.ch01.spectrogram.jpg	0.976	20160215T070000Z_20160216T070000Z	bdf	612.51075	613.63275	MARS-20160216T000000Z-2khz.701
705	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T001555.124304838.124318838.sel.705.ch01.spectrogram.jpg	0.99965	20160215T070000Z_20160216T070000Z	bdf	955.20525	956.63325	MARS-20160216T000000Z-2khz.705
728	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T003953.127181722.127195722.sel.728.ch01.spectrogram.jpg	0.97439	20160215T070000Z_20160216T070000Z	bdf	2393.66025	2395.06275	MARS-20160216T000000Z-2khz.728
728	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T003953.127181722.127195722.sel.728.ch01.spectrogram.jpg	0.97439	20160215T070000Z_20160216T070000Z	bdf	2393.66025	2395.06275	MARS-20160216T000000Z-2khz.728
772	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T014158.134630476.134644476.sel.772.ch01.spectrogram.jpg	0.99914	20160215T070000Z_20160216T070000Z	bdf	6118.139249	6119.33775	MARS-20160216T000000Z-2khz.772
872	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T032235.146704114.146718114.sel.872.ch01.spectrogram.jpg	0.99731	20160215T070000Z_20160216T070000Z	bdf	12155.03475	12156.08025	MARS-20160216T000000Z-2khz.872
872	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T032235.146704114.146718114.sel.872.ch01.spectrogram.jpg	0.99731	20160215T070000Z_20160216T070000Z	bdf	12155.03475	12156.08025	MARS-20160216T000000Z-2khz.872
886	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T033109.147733549.147747549.sel.886.ch01.spectrogram.jpg	0.99862	20160215T070000Z_20160216T070000Z	bdf	12669.54825	12671.00175	MARS-20160216T000000Z-2khz.886
886	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T033109.147733549.147747549.sel.886.ch01.spectrogram.jpg	0.99862	20160215T070000Z_20160216T070000Z	bdf	12669.54825	12671.00175	MARS-20160216T000000Z-2khz.886
898	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T034131.148976598.148990598.sel.898.ch01.spectrogram.jpg	0.85913	20160215T070000Z_20160216T070000Z	bdf	13291.23825	13292.36025	MARS-20160216T000000Z-2khz.898
898	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T034131.148976598.148990598.sel.898.ch01.spectrogram.jpg	0.85913	20160215T070000Z_20160216T070000Z	bdf	13291.23825	13292.36025	MARS-20160216T000000Z-2khz.898
912	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T042133.153780951.153794951.sel.912.ch01.spectrogram.jpg	0.95033	20160215T070000Z_20160216T070000Z	bdf	15693.31275	15694.63875	MARS-20160216T000000Z-2khz.912
923	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20160216T043213.155062096.155076096.sel.923.ch01.spectrogram.jpg	0.996	20160215T070000Z_20160216T070000Z	bdf	16333.43925	16335.65775	MARS-20160216T000000Z-2khz.923
