Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
1676	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T001524.124242312.124256312.sel.1676.ch01.spectrogram.jpg	0.99987	20151025T070000Z_20151026T070000Z	bdf	924.01875	925.29375	MARS-20151026T000000Z-2khz.1676
1747	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T011751.131738164.131752164.sel.1747.ch01.spectrogram.jpg	0.99514	20151025T070000Z_20151026T070000Z	bdf	4671.77925	4673.38575	MARS-20151026T000000Z-2khz.1747
1747	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T011751.131738164.131752164.sel.1747.ch01.spectrogram.jpg	0.99514	20151025T070000Z_20151026T070000Z	bdf	4671.77925	4673.38575	MARS-20151026T000000Z-2khz.1747
1763	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T015822.136600300.136614300.sel.1763.ch01.spectrogram.jpg	0.99664	20151025T070000Z_20151026T070000Z	bdf	7102.92375	7104.37725	MARS-20151026T000000Z-2khz.1763
1766	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20151026T015941.136757074.136771074.sel.1766.ch01.spectrogram.jpg	0.60339	20151025T070000Z_20151026T070000Z	bdt	7181.336249	7182.73875	MARS-20151026T000000Z-2khz.1766
1782	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T022425.139725351.139739351.sel.1782.ch01.spectrogram.jpg	0.99735	20151025T070000Z_20151026T070000Z	bdf	8665.43625	8666.91525	MARS-20151026T000000Z-2khz.1782
1837	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T034550.149495064.149509064.sel.1837.ch01.spectrogram.jpg	0.99698	20151025T070000Z_20151026T070000Z	bdf	13550.44575	13551.61875	MARS-20151026T000000Z-2khz.1837
1880	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20151026T051914.160702441.160716441.sel.1880.ch01.spectrogram.jpg	0.89523	20151025T070000Z_20151026T070000Z	bdf	19154.07075	19155.37125	MARS-20151026T000000Z-2khz.1880
