Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
62	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T071115.1347790.1361790.sel.62.ch01.spectrogram.jpg	0.99987	20171103T070000Z_20171104T070000Z	bdf	25875.31725	25879.47375	MARS-20171103T000000Z-2khz.62
76	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T071328.1611078.1625078.sel.76.ch01.spectrogram.jpg	0.99987	20171103T070000Z_20171104T070000Z	bdf	26008.47825	26009.60025	MARS-20171103T000000Z-2khz.76
117	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T072049.2495035.2509035.sel.117.ch01.spectrogram.jpg	0.99564	20171103T070000Z_20171104T070000Z	bdt	26449.78125	26452.25475	MARS-20171103T000000Z-2khz.117
117	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T072049.2495035.2509035.sel.117.ch01.spectrogram.jpg	0.99564	20171103T070000Z_20171104T070000Z	bdt	26449.78125	26452.25475	MARS-20171103T000000Z-2khz.117
148	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T072638.3192486.3206486.sel.148.ch01.spectrogram.jpg	1.0	20171103T070000Z_20171104T070000Z	bdf	26798.57025	26800.91625	MARS-20171103T000000Z-2khz.148
177	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T073103.3721458.3735458.sel.177.ch01.spectrogram.jpg	0.99995	20171103T070000Z_20171104T070000Z	bdf	27063.66825	27064.79025	MARS-20171103T000000Z-2khz.177
303	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T075428.6534949.6548949.sel.303.ch01.spectrogram.jpg	0.99986	20171103T070000Z_20171104T070000Z	bdf	28468.56525	28473.38475	MARS-20171103T000000Z-2khz.303
307	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T075519.6638632.6652632.sel.307.ch01.spectrogram.jpg	0.9995	20171103T070000Z_20171104T070000Z	bdf	28519.84575	28525.78725	MARS-20171103T000000Z-2khz.307
307	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T075519.6638632.6652632.sel.307.ch01.spectrogram.jpg	0.9995	20171103T070000Z_20171104T070000Z	bdf	28519.84575	28525.78725	MARS-20171103T000000Z-2khz.307
359	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T080534.7863321.7877321.sel.359.ch01.spectrogram.jpg	0.94357	20171103T070000Z_20171104T070000Z	bdf	29134.44675	29135.87475	MARS-20171103T000000Z-2khz.359
360	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T080536.7869313.7883313.sel.360.ch01.spectrogram.jpg	0.99995	20171103T070000Z_20171104T070000Z	bdf	29136.86925	29139.44475	MARS-20171103T000000Z-2khz.360
397	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T081155.8624445.8638445.sel.397.ch01.spectrogram.jpg	0.99955	20171103T070000Z_20171104T070000Z	bdf	29515.05975	29516.38575	MARS-20171103T000000Z-2khz.397
431	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T081833.9426445.9440445.sel.431.ch01.spectrogram.jpg	0.99968	20171103T070000Z_20171104T070000Z	bdf	29913.59925	29919.84675	MARS-20171103T000000Z-2khz.431
456	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T082418.10111324.10125324.sel.456.ch01.spectrogram.jpg	0.9998	20171103T070000Z_20171104T070000Z	bdf	30258.63975	30259.68525	MARS-20171103T000000Z-2khz.456
547	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T084045.12088237.12102237.sel.547.ch01.spectrogram.jpg	0.99944	20171103T070000Z_20171104T070000Z	bdf	31245.36225	31249.87575	MARS-20171103T000000Z-2khz.547
547	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T084045.12088237.12102237.sel.547.ch01.spectrogram.jpg	0.99944	20171103T070000Z_20171104T070000Z	bdf	31245.36225	31249.87575	MARS-20171103T000000Z-2khz.547
625	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T085336.13626652.13640652.sel.625.ch01.spectrogram.jpg	0.52515	20171103T070000Z_20171104T070000Z	bdf	32016.22725	32017.42575	MARS-20171103T000000Z-2khz.625
625	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T085336.13626652.13640652.sel.625.ch01.spectrogram.jpg	0.52515	20171103T070000Z_20171104T070000Z	bdf	32016.22725	32017.42575	MARS-20171103T000000Z-2khz.625
721	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T091126.15768933.15782933.sel.721.ch01.spectrogram.jpg	0.99993	20171103T070000Z_20171104T070000Z	bdf	33086.74275	33089.19075	MARS-20171103T000000Z-2khz.721
745	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T091545.16285002.16299002.sel.745.ch01.spectrogram.jpg	0.9982	20171103T070000Z_20171104T070000Z	bdf	33345.36375	33346.63875	MARS-20171103T000000Z-2khz.745
755	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T091757.16549590.16563590.sel.755.ch01.spectrogram.jpg	0.99983	20171103T070000Z_20171104T070000Z	bdf	33477.17325	33479.41725	MARS-20171103T000000Z-2khz.755
759	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T091843.16641874.16655874.sel.759.ch01.spectrogram.jpg	0.99826	20171103T070000Z_20171104T070000Z	bdf	33523.83825	33525.036749	MARS-20171103T000000Z-2khz.759
803	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T092835.17826375.17840375.sel.803.ch01.spectrogram.jpg	0.99993	20171103T070000Z_20171104T070000Z	bdf	34115.84625	34117.52925	MARS-20171103T000000Z-2khz.803
860	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T093914.19104588.19118588.sel.860.ch01.spectrogram.jpg	0.99985	20171103T070000Z_20171104T070000Z	bdf	34754.92725	34756.66125	MARS-20171103T000000Z-2khz.860
918	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T094941.20359060.20373060.sel.918.ch01.spectrogram.jpg	0.99955	20171103T070000Z_20171104T070000Z	bdf	35381.89575	35384.16525	MARS-20171103T000000Z-2khz.918
944	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T095334.20824206.20838206.sel.944.ch01.spectrogram.jpg	0.99981	20171103T070000Z_20171104T070000Z	bdf	35614.78725	35616.41925	MARS-20171103T000000Z-2khz.944
951	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T095447.20973789.20987789.sel.951.ch01.spectrogram.jpg	0.99999	20171103T070000Z_20171104T070000Z	bdf	35687.41125	35693.37825	MARS-20171103T000000Z-2khz.951
980	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T100002.21598539.21612539.sel.980.ch01.spectrogram.jpg	0.99958	20171103T070000Z_20171104T070000Z	bdf	36002.13225	36003.40725	MARS-20171103T000000Z-2khz.980
1011	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T100551.22297672.22311672.sel.1011.ch01.spectrogram.jpg	0.99985	20171103T070000Z_20171104T070000Z	bdf	36351.68625	36352.98675	MARS-20171103T000000Z-2khz.1011
1014	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T100658.22430349.22444349.sel.1014.ch01.spectrogram.jpg	0.99999	20171103T070000Z_20171104T070000Z	bdf	36418.03725	36419.31225	MARS-20171103T000000Z-2khz.1014
1033	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T101002.22801170.22815170.sel.1033.ch01.spectrogram.jpg	0.99977	20171103T070000Z_20171104T070000Z	bdf	36602.47875	36605.69175	MARS-20171103T000000Z-2khz.1033
1034	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T101021.22836691.22850691.sel.1034.ch01.spectrogram.jpg	0.9918	20171103T070000Z_20171104T070000Z	bdf	36621.06825	36622.62375	MARS-20171103T000000Z-2khz.1034
1141	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T102806.24968440.24982440.sel.1141.ch01.spectrogram.jpg	0.99997	20171103T070000Z_20171104T070000Z	bdf	37686.91725	37688.52375	MARS-20171103T000000Z-2khz.1141
1180	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T103534.25867494.25881494.sel.1180.ch01.spectrogram.jpg	0.99756	20171103T070000Z_20171104T070000Z	bdt	38134.74825	38139.74625	MARS-20171103T000000Z-2khz.1180
1180	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T103534.25867494.25881494.sel.1180.ch01.spectrogram.jpg	0.99756	20171103T070000Z_20171104T070000Z	bdt	38134.74825	38139.74625	MARS-20171103T000000Z-2khz.1180
1193	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T103720.26078251.26092251.sel.1193.ch01.spectrogram.jpg	0.99974	20171103T070000Z_20171104T070000Z	bdt	38240.49675	38244.75525	MARS-20171103T000000Z-2khz.1193
1243	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T104556.27110287.27124287.sel.1243.ch01.spectrogram.jpg	0.99988	20171103T070000Z_20171104T070000Z	bdf	38756.51475	38760.77325	MARS-20171103T000000Z-2khz.1243
1263	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T104931.27539682.27553682.sel.1263.ch01.spectrogram.jpg	0.99846	20171103T070000Z_20171104T070000Z	bdt	38971.93875	38974.74375	MARS-20171103T000000Z-2khz.1263
1263	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T104931.27539682.27553682.sel.1263.ch01.spectrogram.jpg	0.99846	20171103T070000Z_20171104T070000Z	bdt	38971.93875	38974.74375	MARS-20171103T000000Z-2khz.1263
1295	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T105655.28428306.28442306.sel.1295.ch01.spectrogram.jpg	0.99258	20171103T070000Z_20171104T070000Z	bdt	39415.58775	39419.71875	MARS-20171103T000000Z-2khz.1295
1300	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T105732.28503760.28517760.sel.1300.ch01.spectrogram.jpg	0.99868	20171103T070000Z_20171104T070000Z	bdt	39452.12925	39458.63175	MARS-20171103T000000Z-2khz.1300
1323	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T110150.29019013.29033013.sel.1323.ch01.spectrogram.jpg	0.99999	20171103T070000Z_20171104T070000Z	bdt	39710.85225	39715.16175	MARS-20171103T000000Z-2khz.1323
1323	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T110150.29019013.29033013.sel.1323.ch01.spectrogram.jpg	0.99999	20171103T070000Z_20171104T070000Z	bdt	39710.85225	39715.16175	MARS-20171103T000000Z-2khz.1323
1347	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T110531.29456262.29470262.sel.1347.ch01.spectrogram.jpg	0.99788	20171103T070000Z_20171104T070000Z	bdt	39931.01925	39932.24325	MARS-20171103T000000Z-2khz.1347
1347	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T110531.29456262.29470262.sel.1347.ch01.spectrogram.jpg	0.99788	20171103T070000Z_20171104T070000Z	bdt	39931.01925	39932.24325	MARS-20171103T000000Z-2khz.1347
1357	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20171103T110711.29660491.29674491.sel.1357.ch01.spectrogram.jpg	0.99992	20171103T070000Z_20171104T070000Z	bdf	40031.36175	40036.13025	MARS-20171103T000000Z-2khz.1357
1368	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20171103T110900.29879383.29893383.sel.1368.ch01.spectrogram.jpg	0.99992	20171103T070000Z_20171104T070000Z	bdt	40140.27225	40146.11175	MARS-20171103T000000Z-2khz.1368
