Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Predicted	Filename	Score	Key	Classification	Begin Time (s)	End Time (s)	spect_key
66	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T072754.3343063.3357063.sel.66.ch01.spectrogram.jpg	0.99975	20161201T070000Z_20161202T070000Z	bdf	26874.25425	26875.80975	MARS-20161201T000000Z-2khz.66
73	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T072936.3546247.3560247.sel.73.ch01.spectrogram.jpg	0.99973	20161201T070000Z_20161202T070000Z	bdf	26976.07575	26977.17225	MARS-20161201T000000Z-2khz.73
120	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T075802.6959881.6973881.sel.120.ch01.spectrogram.jpg	0.99984	20161201T070000Z_20161202T070000Z	bdf	28682.91825	28683.96375	MARS-20161201T000000Z-2khz.120
232	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T084400.12476016.12490016.sel.232.ch01.spectrogram.jpg	0.99099	20161201T070000Z_20161202T070000Z	bdf	31440.79425	31442.22225	MARS-20161201T000000Z-2khz.232
246	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T084837.13030462.13044462.sel.246.ch01.spectrogram.jpg	0.99934	20161201T070000Z_20161202T070000Z	bdf	31717.41825	31720.04475	MARS-20161201T000000Z-2khz.246
247	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T084849.13053157.13067157.sel.247.ch01.spectrogram.jpg	0.99577	20161201T070000Z_20161202T070000Z	bdf	31729.55625	31730.60175	MARS-20161201T000000Z-2khz.247
310	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T090725.15286065.15300065.sel.310.ch01.spectrogram.jpg	0.99996	20161201T070000Z_20161202T070000Z	bdf	32845.81875	32847.24675	MARS-20161201T000000Z-2khz.310
342	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T091755.16544974.16558974.sel.342.ch01.spectrogram.jpg	0.99766	20161201T070000Z_20161202T070000Z	bdf	33475.286249	33476.688749	MARS-20161201T000000Z-2khz.342
402	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T093937.19148244.19162244.sel.402.ch01.spectrogram.jpg	0.76695	20161201T070000Z_20161202T070000Z	bdf	34777.01025	34778.23425	MARS-20161201T000000Z-2khz.402
415	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161201T094352.19659493.19673493.sel.415.ch01.spectrogram.jpg	0.91962	20161201T070000Z_20161202T070000Z	bdf	35032.67325	35033.82075	MARS-20161201T000000Z-2khz.415
422	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T094601.19918701.19932701.sel.422.ch01.spectrogram.jpg	0.99961	20161201T070000Z_20161202T070000Z	bdf	35161.75425	35163.94725	MARS-20161201T000000Z-2khz.422
422	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T094601.19918701.19932701.sel.422.ch01.spectrogram.jpg	0.99961	20161201T070000Z_20161202T070000Z	bdf	35161.75425	35163.94725	MARS-20161201T000000Z-2khz.422
441	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161201T095032.20458357.20472357.sel.441.ch01.spectrogram.jpg	0.61107	20161201T070000Z_20161202T070000Z	bdf	35432.15625	35433.20175	MARS-20161201T000000Z-2khz.441
452	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161201T095356.20868372.20882372.sel.452.ch01.spectrogram.jpg	0.77265	20161201T070000Z_20161202T070000Z	bdf	35636.94675	35638.42575	MARS-20161201T000000Z-2khz.452
452	Spectrogram 1	1	20.0	120.0	bdt	/tmp/tmpu6uqz1jf/images/20161201T095356.20868372.20882372.sel.452.ch01.spectrogram.jpg	0.77265	20161201T070000Z_20161202T070000Z	bdf	35636.94675	35638.42575	MARS-20161201T000000Z-2khz.452
501	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T100954.22782555.22796555.sel.501.ch01.spectrogram.jpg	0.9663	20161201T070000Z_20161202T070000Z	bdf	36594.26775	36595.28775	MARS-20161201T000000Z-2khz.501
501	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T100954.22782555.22796555.sel.501.ch01.spectrogram.jpg	0.9663	20161201T070000Z_20161202T070000Z	bdf	36594.26775	36595.28775	MARS-20161201T000000Z-2khz.501
502	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T101006.22809075.22823075.sel.502.ch01.spectrogram.jpg	0.99871	20161201T070000Z_20161202T070000Z	bdf	36606.43125	36609.64425	MARS-20161201T000000Z-2khz.502
643	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T110143.29002005.29016005.sel.643.ch01.spectrogram.jpg	0.8465	20161201T070000Z_20161202T070000Z	bdf	39703.45725	39705.54825	MARS-20161201T000000Z-2khz.643
692	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T111622.30760638.30774638.sel.692.ch01.spectrogram.jpg	0.99885	20161201T070000Z_20161202T070000Z	bdf	40582.62075	40585.01775	MARS-20161201T000000Z-2khz.692
781	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T114102.33719148.33733148.sel.781.ch01.spectrogram.jpg	0.54023	20161201T070000Z_20161202T070000Z	bdf	42062.41125	42063.737249	MARS-20161201T000000Z-2khz.781
872	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T121135.37387603.37401603.sel.872.ch01.spectrogram.jpg	0.99789	20161201T070000Z_20161202T070000Z	bdf	43895.47875	43899.12525	MARS-20161201T000000Z-2khz.872
875	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T121228.37491516.37505516.sel.875.ch01.spectrogram.jpg	0.97228	20161201T070000Z_20161202T070000Z	bdf	43948.59525	43949.92125	MARS-20161201T000000Z-2khz.875
875	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T121228.37491516.37505516.sel.875.ch01.spectrogram.jpg	0.97228	20161201T070000Z_20161202T070000Z	bdf	43948.59525	43949.92125	MARS-20161201T000000Z-2khz.875
930	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T122754.39344805.39358805.sel.930.ch01.spectrogram.jpg	0.99981	20161201T070000Z_20161202T070000Z	bdf	44874.88275	44876.92275	MARS-20161201T000000Z-2khz.930
1050	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T130918.44312511.44326511.sel.1050.ch01.spectrogram.jpg	0.99993	20161201T070000Z_20161202T070000Z	bdf	47358.73575	47360.77575	MARS-20161201T000000Z-2khz.1050
1069	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T131428.44931778.44945778.sel.1069.ch01.spectrogram.jpg	0.99983	20161201T070000Z_20161202T070000Z	bdf	47668.33125	47670.44775	MARS-20161201T000000Z-2khz.1069
1135	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T133908.47891385.47905385.sel.1135.ch01.spectrogram.jpg	0.99987	20161201T070000Z_20161202T070000Z	bdf	49148.09625	49150.28925	MARS-20161201T000000Z-2khz.1135
1208	Spectrogram 1	1	20.0	120.0	bdf	/tmp/tmpu6uqz1jf/images/20161201T140549.51092400.51106400.sel.1208.ch01.spectrogram.jpg	0.99998	20161201T070000Z_20161202T070000Z	bdf	50749.19025	50750.21025	MARS-20161201T000000Z-2khz.1208
